instance,alpha,maxtime,maxcost,makespam,cost,FO
3_toy_15_A ,0.5,36,154,18,77,0.6425
3_toy_15_B ,0.5,52,54,26,27,0.755263
3_toy_15_C ,0.5,54,136,27,68,0.704167
5_toy_15_A ,0.5,38,88,19,44,0.556818
5_toy_15_B ,0.5,44,46,22,23,0.621875
5_toy_15_C ,0.5,54,56,27,28,0.61
3_toy_10_A ,0.5,46,168,23,84,0.348889
3_toy_10_B ,0.5,16,198,8,99,0.235526
3_toy_10_C ,0.5,42,440,21,220,0.298611
5_toy_10_A ,0.5,82,268,41,134,0.4125
5_toy_10_B ,0.5,22,300,11,150,0.243852
5_toy_10_C ,0.5,68,450,34,225,0.258854
3_toy_5_A ,0.5,10,120,5,60,0.458333
3_toy_5_C ,0.5,6,80,3,40,0.0875
5_toy_5_A ,0.5,10,120,5,60,0.458333
5_toy_5_B ,0.5,16,108,8,54,0.291304
5_toy_5_C ,0.5,14,96,7,48,0.1475
gpu ,0.5,32,34,16,17,0.274621
CyberShake_30_gpu ,0.5,2820,282.2,1410,141.1,0.551565
CyberShake_50_gpu ,0.5,2332,1758.04,1166,879.02,0.486681
CyberShake_100_gpu ,0.5,4604,5353.16,2302,2676.58,0.587558
Epigenomics_24_gpu ,0.5,6788,9888.78,3394,4944.39,0.142854
Epigenomics_46_gpu ,0.5,21252,3377.8,10626,1688.9,0.0945667
Epigenomics_100_gpu ,0.5,106878,197180,53439,98590.2,0.115834
Montage_25_gpu ,0.5,340,454.36,170,227.18,0.328648
Montage_50_gpu ,0.5,816,138.62,408,69.31,0.208147
Montage_100_gpu ,0.5,1018,1792.26,509,896.13,0.237881
Inspiral_30_gpu ,0.5,2456,772.28,1228,386.14,0.0725249
Inspiral_50_gpu ,0.5,3006,2044.6,1503,1022.3,0.061457
Inspiral_100_gpu ,0.5,6140,3008.92,3070,1504.46,0.0653636
Sipht_30_gpu ,0.5,5888,669.4,2944,334.7,0.154086
Sipht_60_gpu ,0.5,8774,4422.6,4387,2211.3,0.143213
Sipht_100_gpu ,0.5,15160,2256,7580,1128,0.133207
